time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-05T23:33:21.950Z,35.6685,-117.56,6.79,2,ml,21,86,0.1142,0.18,ci,ci38456071,2019-07-05T23:42:32.536Z,"12km ENE of Ridgecrest, CA",earthquake,0.31,0.92,0.251,24,automatic,ci,ci
2019-07-05T23:29:34.440Z,35.638,-117.5571667,3.66,1.58,ml,20,116,0.09289,0.16,ci,ci38456039,2019-07-05T23:38:33.888Z,"11km E of Ridgecrest, CA",earthquake,0.27,0.99,0.149,24,automatic,ci,ci
2019-07-05T23:28:36.783Z,69.2971,-144.7317,2.4,2.3,ml,,,,0.61,ak,ak0198jztlq6,2019-07-05T23:41:52.403Z,"102km SSW of Kaktovik, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-07-05T23:27:00.750Z,35.7303333,-117.5378333,9.28,1.9,ml,27,59,0.09807,0.14,ci,ci38456015,2019-07-05T23:37:32.820Z,"13km WSW of Searles Valley, CA",earthquake,0.22,0.67,0.227,26,automatic,ci,ci
2019-07-05T23:23:35.390Z,35.6706667,-117.5106667,2.85,1.5,ml,20,101,0.0928,0.14,ci,ci38455999,2019-07-05T23:27:22.208Z,"14km SW of Searles Valley, CA",earthquake,0.23,0.53,0.096,22,automatic,ci,ci
2019-07-05T23:21:20.740Z,35.6788333,-117.5305,6.66,1.84,ml,23,77,0.1076,0.18,ci,ci38455983,2019-07-05T23:25:10.363Z,"15km ENE of Ridgecrest, CA",earthquake,0.29,0.94,0.178,27,automatic,ci,ci
2019-07-05T23:17:13.790Z,35.7578333,-117.537,9.28,1.73,ml,14,140,0.07589,0.22,ci,ci38455967,2019-07-05T23:22:19.351Z,"12km W of Searles Valley, CA",earthquake,0.52,1.21,0.242,6,automatic,ci,ci
2019-07-05T23:16:56.080Z,35.7028333,-117.5083333,2.69,1.71,ml,20,101,0.122,0.19,ci,ci38455959,2019-07-05T23:22:15.339Z,"12km SW of Searles Valley, CA",earthquake,0.35,1.04,0.15,27,automatic,ci,ci
2019-07-05T23:11:54.770Z,35.6778333,-117.4841667,0.44,2.24,ml,31,64,0.09287,0.18,ci,ci38455919,2019-07-05T23:23:12.910Z,"12km SW of Searles Valley, CA",earthquake,0.3,0.64,0.163,26,automatic,ci,ci
2019-07-05T23:07:31.440Z,35.7975,-117.611,4.21,2.63,ml,29,52,0.02125,0.15,ci,ci38455903,2019-07-05T23:18:08.270Z,"19km W of Searles Valley, CA",earthquake,0.2,0.42,0.147,25,automatic,ci,ci
2019-07-05T23:01:07.890Z,35.683,-117.5061667,0.73,2.51,ml,22,102,0.1027,0.19,ci,ci38455855,2019-07-05T23:58:45.168Z,"13km SW of Searles Valley, CA",earthquake,0.3,0.57,0.112,26,automatic,ci,ci
2019-07-05T23:00:43.520Z,35.7628333,-117.5781667,7.26,2.32,ml,28,55,0.05509,0.15,ci,ci38455847,2019-07-05T23:11:58.950Z,"16km W of Searles Valley, CA",earthquake,0.23,0.79,0.192,26,automatic,ci,ci
2019-07-05T23:00:24.656Z,36.55505753,-98.97589874,1.3141011,2.42,ml,30,166.0670853,0.05232421681,0.8014861775,ok,ok2019nbtp,2019-07-05T23:11:50.968Z,"24km ENE of Mooreland, Oklahoma",earthquake,3.278439592,1.592517001,,24,automatic,ok,ok
2019-07-05T22:58:54.780Z,35.643,-117.6005,7.28,1.61,ml,21,73,0.126,0.14,ci,ci38455839,2019-07-05T23:02:42.162Z,"7km ENE of Ridgecrest, CA",earthquake,0.22,1.32,0.18,26,automatic,ci,ci
2019-07-05T22:54:37.660Z,35.7741667,-117.5646667,6.96,1.95,ml,21,83,0.04933,0.15,ci,ci38455815,2019-07-05T22:58:20.142Z,"14km W of Searles Valley, CA",earthquake,0.28,0.53,0.134,26,automatic,ci,ci
2019-07-05T22:54:28.218Z,58.3982,-154.4627,5.8,1.7,ml,,,,0.46,ak,ak0198jzdq04,2019-07-06T00:13:30.080Z,"103km NNW of Larsen Bay, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-05T22:53:46.200Z,35.7413333,-117.5426667,3.06,1.64,ml,21,88,0.08661,0.15,ci,ci38455799,2019-07-05T22:57:30.178Z,"13km WSW of Searles Valley, CA",earthquake,0.29,0.64,0.117,24,automatic,ci,ci
2019-07-05T22:52:34.420Z,35.7713333,-117.5726667,6.49,1.89,ml,27,64,0.0487,0.17,ci,ci38455791,2019-07-05T23:03:49.670Z,"15km W of Searles Valley, CA",earthquake,0.26,0.66,0.177,26,automatic,ci,ci
2019-07-05T22:52:03.810Z,19.1520004,-155.442337,39.28,2.38,ml,44,167,0.019,0.3,hv,hv71035027,2019-07-05T23:40:51.252Z,"7km SSE of Pahala, Hawaii",earthquake,0.95,1.36,0.07,3,automatic,hv,hv
2019-07-05T22:52:01.490Z,35.762,-117.5723333,8.01,1.63,ml,24,83,0.0574,0.15,ci,ci38455775,2019-07-05T23:02:47.200Z,"15km W of Searles Valley, CA",earthquake,0.27,0.75,0.208,26,automatic,ci,ci
2019-07-05T22:51:55.430Z,19.0563335,-155.5484924,42.05,2.22,ml,21,287,0.128,0.35,hv,hv71035022,2019-07-05T23:08:18.040Z,"17km SSW of Pahala, Hawaii",earthquake,2.61,3.28,2.57,13,automatic,hv,hv
2019-07-05T22:50:52.930Z,35.7601667,-117.5745,7.59,2.32,ml,31,73,0.05853,0.15,ci,ci38455759,2019-07-05T23:01:43.910Z,"15km W of Searles Valley, CA",earthquake,0.22,0.73,0.193,25,automatic,ci,ci
2019-07-05T22:41:18.660Z,35.6193333,-117.5946667,5.02,2.14,ml,24,64,0.1128,0.15,ci,ci38455703,2019-07-05T22:45:12.043Z,"7km E of Ridgecrest, CA",earthquake,0.24,0.79,0.214,26,automatic,ci,ci
2019-07-05T22:39:19.390Z,35.6403351,-117.5888367,8.32,2.45,ml,29,58,0.1163,0.18,ci,ci38455687,2019-07-05T23:38:45.215Z,"8km ENE of Ridgecrest, CA",earthquake,0.29,1.19,0.231,7,automatic,ci,ci
2019-07-05T22:38:23.380Z,35.7750015,-117.6006699,2.38,3.03,ml,53,53,0.04073,0.15,ci,ci38455679,2019-07-05T23:57:50.563Z,"18km W of Searles Valley, CA",earthquake,0.19,0.41,0.219,21,reviewed,ci,ci
2019-07-05T22:38:01.620Z,19.0960007,-155.4766693,38.41,1.88,ml,18,232,0.153,0.12,hv,hv71034977,2019-07-05T22:43:46.870Z,"12km S of Pahala, Hawaii",earthquake,1.73,1.56,3.54,4,automatic,hv,hv
2019-07-05T22:33:25.270Z,35.686,-117.4883333,6.42,2.26,ml,30,72,0.1015,0.22,ci,ci38455647,2019-07-05T22:44:24.250Z,"12km SW of Searles Valley, CA",earthquake,0.38,1.24,0.14,24,automatic,ci,ci
